"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
260000,0.997033377353684,66033.65,16120,4310,5720,227.4,0,0,92411.05,0.355427115384615,66033.65,7347,4310,0,0,1071,1318,80079.65,0.307998653846154
262000,0.99706975486771,66794.45,16244,4357,5764,227.4,0,0,93386.85,0.356438358778626,66720.05,7347,4357,0,0,1071,1318,80813.05,0.308446755725191
264000,0.997106132381736,67564.05,16368,4404,5808,227.4,0,0,94371.45,0.357467613636364,67406.45,7347,4404,0,0,1071,1318,81546.45,0.308888068181818
266000,0.997142509895761,68333.65,16492,4451,5852,227.4,0,0,95356.05,0.358481390977444,68092.85,7347,4451,0,0,1071,1318,82279.85,0.309322744360902
268000,0.997178887409787,69073.65,16616,4498,5896,227.4,0,0,96311.05,0.359369589552239,68752.85,7347,4498,0,0,1071,1318,82986.85,0.309652425373134
270000,0.997215264923813,69843.25,16740,4545,5940,227.4,0,0,97295.65,0.360354259259259,69439.25,7347,4545,0,0,1071,1318,83720.25,0.310075
272000,0.997251642437839,70612.85,16864,4592,5984,227.4,0,0,98280.25,0.361324448529412,70125.65,7347,4592,0,0,1071,1318,84453.65,0.310491360294118
274000,0.997288019951864,71382.45,16988,4639,6028,227.4,0,0,99264.85,0.362280474452555,70812.05,7347,4639,0,0,1071,1318,85187.05,0.310901642335766
276000,0.99732439746589,72152.05,17112,4686,6072,227.4,0,0,100249.45,0.363222644927536,71498.45,7347,4686,0,0,1071,1318,85920.45,0.31130597826087
278000,0.997360774979916,72892.05,17236,4733,6116,227.4,0,0,101204.45,0.364044784172662,72158.45,7347,4733,0,0,1071,1318,86627.45,0.311609532374101
280000,0.997397152493942,73661.65,17360,4780,6160,227.4,0,0,102189.05,0.364960892857143,72844.85,7347,4780,0,0,1071,1318,87360.85,0.312003035714286
282000,0.997433530007967,74431.25,17484,4827,6204,227.4,0,0,103173.65,0.365864007092199,73531.25,7347,4827,0,0,1071,1318,88094.25,0.312390957446809
284000,0.997469907521993,75200.85,17608,4874,6248,227.4,0,0,104158.25,0.366754401408451,74217.65,7347,4874,0,0,1071,1318,88827.65,0.312773415492958
286000,0.997506285036019,75970.45,17732,4921,6292,227.4,0,0,105142.85,0.367632342657343,74904.05,7347,4921,0,0,1071,1318,89561.05,0.313150524475524
288000,0.997542662550045,76710.45,17856,4968,6336,227.4,0,0,106097.85,0.3683953125,75564.05,7347,4968,0,0,1071,1318,90268.05,0.313430729166667
290000,0.997579040064071,77480.05,17980,5015,6380,227.4,0,0,107082.45,0.369249827586207,76250.45,7347,5015,0,0,1071,1318,91001.45,0.313798103448276
